ann_date,stk_div,stk_bo_rate,cash_div_tax,div_proc,ex_date,record_date,红股上市日,ts_code
2025-12-09,0,0,1.195,实施,2025-12-15,2025-12-12,,601288.SH
2025-03-29,0,0,1.255,实施,2025-07-17,2025-07-16,,601288.SH
2024-12-30,0,0,1.164,实施,2025-01-08,2025-01-07,,601288.SH
2024-05-30,0,0,2.309,实施,2024-06-07,2024-06-06,,601288.SH
2023-07-10,0,0,2.222,实施,2023-07-18,2023-07-17,,601288.SH
2022-07-08,0,0,2.068,实施,2022-07-15,2022-07-14,,601288.SH
2021-06-08,0,0,1.851,实施,2021-06-17,2021-06-16,,601288.SH
2020-07-06,0,0,1.819,实施,2020-07-10,2020-07-09,,601288.SH
2019-06-11,0,0,1.739,实施,2019-06-19,2019-06-18,,601288.SH
2018-05-19,0,0,1.783,实施,2018-05-25,2018-05-24,,601288.SH
2017-07-06,0,0,1.7,实施,2017-07-13,2017-07-12,,601288.SH
2016-06-30,0,0,1.668,实施,2016-07-07,2016-07-06,,601288.SH
2015-07-03,0,0,1.82,实施,2015-07-10,2015-07-09,,601288.SH
2014-06-26,0,0,1.77,实施,2014-07-03,2014-07-02,,601288.SH
2013-06-20,0,0,1.565,实施,2013-06-28,2013-06-27,,601288.SH
2012-06-12,0,0,1.315,实施,2012-06-20,2012-06-19,,601288.SH
2011-06-10,0,0,0.54,实施,2011-06-17,2011-06-16,,601288.SH
2010-08-28,0,0,1.18804,预案,,,,601288.SH
