trade_date,close,pct_chg,main_net_inflow,main_net_inflow_pct,xl_net_inflow,超大单净流入-净占比,lg_net_inflow,大单净流入-净占比,md_net_inflow,中单净流入-净占比,sm_net_inflow,小单净流入-净占比
2026-01-28,6.8,-1.31,64352496.0,1.8,29789040.0,0.83,34563456.0,0.97,-30660688.0,-0.86,-33691840.0,-0.94
2026-01-29,6.78,-0.29,118253312.0,3.31,134901440.0,3.78,-16648128.0,-0.47,-129504032.0,-3.63,11250720.0,0.32
2026-01-30,6.72,-0.88,-148914448.0,-5.34,-16753552.0,-0.6,-132160896.0,-4.74,-50858400.0,-1.82,199772848.0,7.16
2026-02-02,6.78,0.89,269964880.0,8.08,206640256.0,6.18,63324624.0,1.9,-140367968.0,-4.2,-129596912.0,-3.88
2026-02-03,6.66,-1.77,-268920592.0,-9.02,-47293136.0,-1.59,-221627456.0,-7.43,14052544.0,0.47,254868048.0,8.55
2026-02-04,6.67,0.15,40301808.0,1.97,50128432.0,2.46,-9826624.0,-0.48,-72618880.0,-3.56,32317056.0,1.58
2026-02-05,6.7,0.45,104448672.0,4.67,77825136.0,3.48,26623536.0,1.19,-86141824.0,-3.85,-18306848.0,-0.82
2026-02-06,6.67,-0.45,-107944624.0,-4.82,-97175232.0,-4.34,-10769392.0,-0.48,3786752.0,0.17,104157856.0,4.65
2026-02-09,6.71,0.6,136842208.0,7.0,218491936.0,11.18,-81649728.0,-4.18,-134847840.0,-6.9,-1994352.0,-0.1
2026-02-10,6.73,0.3,-95616272.0,-3.95,-107178032.0,-4.43,11561760.0,0.48,27806608.0,1.15,67809664.0,2.8
2026-02-11,6.79,0.89,113371296.0,5.45,200120560.0,9.63,-86749264.0,-4.17,-147155712.0,-7.08,33784432.0,1.62
2026-02-12,6.61,-2.65,-688037744.0,-23.21,-644999168.0,-21.75,-43038576.0,-1.45,284674656.0,9.6,403363104.0,13.6
2026-02-13,6.51,-1.51,-385871744.0,-17.74,-316582096.0,-14.55,-69289648.0,-3.18,120920672.0,5.56,264951088.0,12.18
2026-02-24,6.48,-0.46,-54938512.0,-3.7,-50141536.0,-3.38,-4796976.0,-0.32,-21386944.0,-1.44,76325456.0,5.15
2026-02-25,6.51,0.46,-125094832.0,-7.93,24222176.0,1.54,-149317008.0,-9.47,66792512.0,4.24,58302309.0,3.7
2026-02-26,6.42,-1.38,-372004144.0,-20.05,-322150560.0,-17.37,-49853584.0,-2.69,119941680.0,6.47,252062480.0,13.59
2026-02-27,6.4,-0.31,-18611104.0,-1.36,15113840.0,1.11,-33724944.0,-2.47,-36251456.0,-2.65,54862549.0,4.02
2026-03-02,6.48,1.25,241148208.0,8.83,190248848.0,6.96,50899360.0,1.86,-110522064.0,-4.04,-130626144.0,-4.78
2026-03-03,6.73,3.86,602916128.0,10.7,639625408.0,11.36,-36709280.0,-0.65,-234460144.0,-4.16,-368455952.0,-6.54
2026-03-04,6.68,-0.74,107165152.0,2.74,233773376.0,5.98,-126608224.0,-3.24,-37856752.0,-0.97,-69308384.0,-1.77
2026-03-05,6.74,0.9,299340048.0,10.18,306983200.0,10.44,-7643152.0,-0.26,-158075696.0,-5.38,-141264352.0,-4.81
2026-03-06,6.7,-0.59,-417696064.0,-19.89,-371734112.0,-17.7,-45961952.0,-2.19,194929104.0,9.28,222766960.0,10.61
2026-03-09,6.66,-0.6,-140938160.0,-5.1,-208491728.0,-7.55,67553568.0,2.45,79603040.0,2.88,61335136.0,2.22
2026-03-10,6.58,-1.2,-302875392.0,-14.15,-188085120.0,-8.79,-114790272.0,-5.36,99071360.0,4.63,203804016.0,9.52
2026-03-11,6.63,0.76,-49211072.0,-2.98,-60976240.0,-3.69,11765168.0,0.71,-18384.0,-0.0,49229472.0,2.98
2026-03-12,6.64,0.15,23668850.0,1.69,98904898.0,7.07,-75236048.0,-5.38,-24984080.0,-1.79,1315216.0,0.09
2026-03-13,6.62,-0.3,-81573792.0,-4.32,-41107680.0,-2.18,-40466112.0,-2.14,68750704.0,3.64,12823104.0,0.68
2026-03-16,6.65,0.45,74199232.0,4.63,69881440.0,4.36,4317792.0,0.27,-33073008.0,-2.06,-41126224.0,-2.56
2026-03-17,6.76,1.65,361958880.0,12.92,308228688.0,11.01,53730192.0,1.92,-162002288.0,-5.78,-199956592.0,-7.14
2026-03-18,6.74,-0.3,-10980096.0,-0.3,61847728.0,1.7,-72827824.0,-2.0,-911776.0,-0.03,11891872.0,0.33
